+------------+--------+--------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close |   MA10 |   MA40 | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
| 2004-07-22 |  77.63 |  78.40 |  79.54 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-23 |  76.98 |  78.21 |  79.50 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-26 |  76.83 |  78.00 |  79.45 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-27 |  77.55 |  77.85 |  79.40 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-28 |  77.79 |  77.75 |  79.36 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-29 |  78.12 |  77.73 |  79.33 |          |        |          |        |          |           |          |  8892.49 |
| 2004-07-30 |  78.31 |  77.74 |  79.29 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-02 |  78.47 |  77.80 |  79.28 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-03 |  77.86 |  77.70 |  79.24 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-04 |  77.86 |  77.74 |  79.17 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-05 |  76.59 |  77.64 |  79.06 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-06 |  75.49 |  77.49 |  78.95 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-09 |   75.6 |  77.36 |  78.82 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-10 |  76.57 |  77.27 |  78.75 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-11 |  76.42 |  77.13 |  78.65 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-12 |  75.58 |  76.88 |  78.53 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-13 |  75.73 |  76.62 |  78.42 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-16 |  76.52 |  76.42 |  78.33 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-17 |  76.95 |  76.33 |  78.25 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-18 |  77.74 |  76.32 |  78.19 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-19 |  77.51 |  76.41 |  78.10 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-20 |  78.06 |  76.67 |  78.03 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-23 |  77.86 |  76.89 |  77.97 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-24 |  77.96 |  77.03 |  77.91 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-25 |  78.49 |  77.24 |  77.86 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-26 |  78.49 |  77.53 |  77.80 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-27 |  78.74 |  77.83 |  77.77 |          |        |          |        |          |           |          |  8892.49 |
| 2004-08-30 |  78.09 |  77.99 |  77.73 |   MA+    |  78.58 |          |        |      113 |     76.13 |   -55.09 |  8837.40 |
| 2004-08-31 |   78.5 |  78.14 |  77.72 |          |        |          |        |      113 |     76.13 |    -8.78 |  8883.70 |
| 2004-09-01 |  78.65 |  78.24 |  77.70 |          |        |          |        |      113 |     76.22 |     7.98 |  8900.47 |
| 2004-09-02 |  79.54 |  78.44 |  77.72 |          |        |          |        |      113 |     76.79 |   108.57 |  9001.06 |
| 2004-09-03 |  79.21 |  78.55 |  77.73 |          |        |          |        |      113 |     76.79 |    71.85 |  8964.34 |
| 2004-09-07 |  79.74 |  78.74 |  77.75 |          |        |          |        |      113 |     76.83 |   130.93 |  9023.41 |
| 2004-09-08 |  79.54 |  78.90 |  77.76 |          |        |          |        |      113 |     76.83 |   108.57 |  9001.06 |
| 2004-09-09 |  79.47 |  79.00 |  77.78 |          |        |          |        |      113 |     76.83 |   100.59 |  8993.08 |
| 2004-09-10 |  79.88 |  79.14 |  77.82 |          |        |          |        |      113 |     76.83 |   146.90 |  9039.38 |
| 2004-09-13 |  80.14 |  79.28 |  77.87 |          |        |          |        |      113 |     76.93 |   176.44 |  9068.92 |
| 2004-09-14 |   80.3 |  79.50 |  77.93 |          |        |          |        |      113 |     76.99 |   194.80 |  9087.29 |
| 2004-09-15 |  79.69 |  79.62 |  77.95 |          |        |          |        |      113 |     77.03 |   126.14 |  9018.63 |
| 2004-09-16 |  79.93 |  79.75 |  78.01 |          |        |          |        |      113 |     77.10 |   153.28 |  9045.77 |
| 2004-09-17 |  80.27 |  79.82 |  78.08 |          |        |          |        |      113 |     77.41 |   191.68 |  9084.17 |
| 2004-09-20 |  79.79 |  79.88 |  78.15 |          |        |          |        |      113 |     77.78 |   137.17 |  9029.66 |
| 2004-09-21 |  80.14 |  79.92 |  78.23 |          |        |          |        |      113 |     78.07 |   176.45 |  9068.94 |
| 2004-09-22 |  79.14 |  79.88 |  78.27 |          |        |          |        |      113 |     78.31 |    63.42 |  8955.90 |
| 2004-09-23 |  78.71 |  79.80 |  78.29 |          |        |          |        |      113 |     78.41 |    15.31 |  8907.80 |
| 2004-09-24 |  79.08 |  79.72 |  78.31 |          |        |          |        |      113 |     78.58 |    56.20 |  8948.69 |
| 2004-09-27 |  78.57 |  79.56 |  78.32 |          |        |          |        |      113 |     78.64 |    -0.72 |  8891.77 |
| 2004-09-28 |  78.95 |  79.43 |  78.33 |          |        |          |        |      113 |     78.77 |    41.77 |  8934.26 |
| 2004-09-29 |  79.35 |  79.39 |  78.37 |          |        |          |        |      113 |     78.90 |    86.66 |  8979.15 |
| 2004-09-30 |  79.29 |  79.33 |  78.41 |          |        |          |        |      113 |     78.95 |    80.25 |  8972.73 |
| 2004-10-01 |  80.63 |  79.36 |  78.51 |          |        |          |        |      113 |     79.02 |   231.77 |  9124.25 |
| 2004-10-04 |  80.76 |  79.46 |  78.64 |          |        |          |        |      113 |     79.48 |   247.00 |  9139.49 |
| 2004-10-05 |  80.81 |  79.53 |  78.77 |          |        |          |        |      113 |     79.53 |   251.81 |  9144.30 |
| 2004-10-06 |  81.36 |  79.75 |  78.89 |          |        |          |        |      113 |     79.58 |   314.34 |  9206.83 |
| 2004-10-07 |  80.49 |  79.93 |  78.99 |          |        |          |        |      113 |     79.63 |   215.73 |  9108.22 |
| 2004-10-08 |  79.82 |  80.00 |  79.10 |          |        |          |        |      113 |     79.64 |   140.38 |  9032.86 |
| 2004-10-11 |  80.15 |  80.16 |  79.21 |          |        |          |        |      113 |     79.66 |   177.25 |  9069.74 |
| 2004-10-12 |  79.83 |  80.25 |  79.29 |          |        |          |        |      113 |     79.66 |   141.98 |  9034.46 |
| 2004-10-13 |  79.13 |  80.23 |  79.34 |          |        |          |        |      113 |     79.66 |    62.61 |  8955.10 |
| 2004-10-14 |  78.49 |  80.15 |  79.36 |          |        |          |        |      113 |     79.66 |    -9.54 |  8882.95 |
| 2004-10-15 |  78.93 |  79.98 |  79.40 |          |        |          |        |      113 |     79.66 |    40.16 |  8932.65 |
| 2004-10-18 |  79.23 |  79.83 |  79.43 |          |        |          |        |      113 |     79.66 |    73.84 |  8966.32 |
| 2004-10-19 |  78.56 |  79.60 |  79.45 |          |        |          |        |      113 |     79.66 |    -1.52 |  8890.96 |
| 2004-10-20 |  78.41 |  79.31 |  79.46 |          |        |          |        |      113 |     79.66 |   -19.16 |  8873.33 |
| 2004-10-21 |  78.92 |  79.15 |  79.47 |          |        |   MA-    |  78.60 |      113 |     79.66 |     2.49 |  8894.97 |
